NAM_ID,pericarp_color
12.2_001,y
12.2_002,y
12.2_003,r
12.2_004,y
12.2_006,r
12.2_007,y
12.2_008,y
12.2_009,b
12.2_010,b
12.2_011,y
12.2_013,y
12.2_014,y
12.2_015,y
12.2_016,y
12.2_017,y
12.2_018,y
12.2_019,y
12.2_021,y
12.2_022,y
12.2_023,y
12.2_024,y
12.2_026,y
12.2_028,y
12.2_029,y
12.2_030,y
12.2_031,y
12.2_032,y
12.2_033,y
12.2_035,y
12.2_036,y
12.2_043,y
12.2_046,y
12.2_047,y
12.2_049,y
12.2_050,y
12.2_051,y
12.2_052,y
12.2_053,y
12.2_054,y
12.2_055,y
12.2_056,y
12.2_057,y
12.2_058,y
12.2_059,y
12.2_060,y
12.2_061,b
12.2_063,b
12.2_064,w
12.2_067,w
12.2_068,r
12.2_069,b
12.2_071,r
12.2_072,w
12.2_073,b
12.2_074,b
12.2_075,w
12.2_076,w
12.2_078,b
12.2_079,w
12.2_080,w
12.2_081,b
12.2_082,r
12.2_083,b
12.2_085,b
12.2_086,y
12.2_088,y
12.2_091,y
12.2_092,r
12.2_093,r
12.2_094,b
12.2_095,b
12.2_096,w
12.2_097,b
12.2_098,r
12.2_099,b
12.2_100,y
12.2_101,b
12.2_102,w
12.2_103,b
12.2_104,r
12.2_105,r
12.2_106,w
12.2_108,b
12.2_109,w
12.2_110,b
12.2_111,b
12.2_112,b
12.2_113,w
12.2_114,b
12.2_115,b
12.2_116,w
12.2_117,w
12.2_118,r
12.2_119,b
12.2_120,w
12.2_121,w
12.2_123,w
12.2_124,w
12.2_128,w
12.2_130,b
12.2_131,w
12.2_132,b
12.2_133,w
12.2_134,r
12.2_135,b
12.2_136,b
12.2_137,w
12.2_138,b
12.2_139,w
12.2_140,r
12.2_141,w
12.2_142,b
12.2_143,r
12.2_144,r
12.2_145,w
12.2_147,w
12.2_148,w
12.2_149,w
12.2_150,w
12.2_151,b
12.2_152,w
12.2_153,w
12.2_155,y
12.2_158,w
12.2_159,b
12.2_160,w
12.2_163,w
12.2_164,w
12.2_165,w
12.2_166,w
12.2_167,b
12.2_168,w
12.2_169,w
12.2_170,w
12.2_171,w
12.2_172,b
12.2_174,b
12.2_175,w
12.2_176,w
12.2_177,w
12.2_178,b
12.2_179,y
12.2_180,w
12.2_181,w
12.2_182,w
12.2_183,b
12.2_184,w
12.2_185,w
12.2_186,r
12.2_187,b
12.2_188,b
12.2_189,w
12.2_190,w
12.2_191,w
12.2_192,w
12.2_193,w
12.2_194,w
12.2_195,b
12.2_197,b
12.2_198,w
12.2_199,w
12.2_200,w
12.2_201,b
12.2_205,w
12.2_208,w
12.2_209,w
12.2_210,w
12.2_212,w
12.2_213,w
12.2_215,w
12.2_216,b
12.2_217,w
12.2_218,w
12.2_219,w
12.2_220,r
12.2_221,w
12.2_222,w
12.2_224,w
12.2_225,w
12.2_226,w
12.2_227,w
12.2_228,w
12.2_229,w
12.2_230,w
12.2_231,w
12.2_232,b
12.2_233,w
12.2_235,r
12.2_238,y
12.2_243,w
12.2_244,w
12.2_247,w
12.2_248,w
12.2_249,w
12.2_250,w
14.1_001,b
14.1_002,y
14.1_004,w
14.1_005,r
14.1_006,r
14.1_007,r
14.1_008,b
14.1_009,w
14.1_010,w
14.1_011,r
14.1_013,w
14.1_014,w
14.1_015,r
14.1_016,b
14.1_017,w
14.1_018,w
14.1_019,w
14.1_020,y
14.1_021,w
14.1_022,w
14.1_023,w
14.1_024,b
14.1_025,w
14.1_026,w
14.1_027,y
14.1_028,w
14.1_029,w
14.1_030,w
14.1_031,b
14.1_032,w
14.1_033,w
14.1_034,b
14.1_035,w
14.1_036,w
14.1_037,w
14.1_038,w
14.1_040,w
14.1_041,r
14.1_042,w
14.1_043,r
14.1_044,b
14.1_045,w
14.1_046,w
14.1_047,r
14.1_048,w
14.1_049,r
14.1_050,w
14.1_051,w
14.1_053,w
14.1_054,b
14.1_055,w
14.1_056,b
14.1_057,w
14.1_058,w
14.1_059,w
14.1_060,w
14.1_061,w
14.1_062,w
14.1_063,w
14.1_065,w
14.1_066,w
14.1_067,r
14.1_068,r
14.1_069,b
14.1_070,w
14.1_071,b
14.1_072,w
14.1_074,b
14.1_075,w
14.1_076,b
14.1_078,w
14.1_081,w
14.1_082,w
14.1_083,w
14.1_084,b
14.1_085,b
14.1_086,b
14.1_087,b
14.1_088,b
14.1_089,b
14.1_090,b
14.1_091,b
14.1_092,b
14.1_095,b
14.1_096,b
14.1_098,r
14.1_099,w
14.1_100,r
14.1_101,b
14.1_102,w
14.1_105,w
14.1_106,b
14.1_107,w
14.1_108,w
14.1_109,w
14.1_110,w
14.1_111,w
14.1_112,w
14.1_113,w
14.1_114,w
14.1_115,w
14.1_116,w
14.1_117,w
14.1_118,b
14.1_119,w
14.1_120,b
14.1_121,r
14.1_122,w
14.1_123,w
14.1_124,w
14.1_125,w
14.1_126,w
14.1_127,w
14.1_128,w
14.1_129,w
14.1_130,w
14.1_131,w
14.1_132,w
14.1_133,w
14.1_134,w
14.1_135,w
14.1_136,b
14.1_137,w
14.1_138,w
14.1_139,w
14.1_141,w
14.1_142,r
14.1_143,w
14.1_144,b
14.1_145,w
14.1_147,w
14.1_148,w
14.1_149,b
14.1_150,w
14.1_151,w
14.1_152,w
14.1_153,w
14.1_155,b
14.1_156,b
14.1_157,b
14.1_158,w
14.1_159,w
14.1_160,w
14.1_162,w
14.1_163,w
14.1_164,w
14.1_165,w
14.1_167,b
14.1_169,b
14.1_170,w
14.1_171,r
14.1_172,r
14.1_174,r
14.1_175,w
14.1_176,b
14.1_177,b
14.1_178,r
14.1_179,w
14.1_180,r
14.1_181,w
14.1_182,w
14.1_183,b
14.1_184,w
14.1_185,w
14.1_186,w
14.1_187,w
14.1_188,w
14.1_189,b
14.1_190,r
14.1_191,b
14.1_193,b
14.1_194,b
14.1_196,b
14.1_197,b
14.1_198,b
14.1_199,b
14.1_200,b
14.1_201,r
14.1_203,b
14.1_204,b
14.1_205,r
14.1_206,w
14.1_207,b
14.1_209,w
14.1_210,w
14.1_211,w
14.1_212,w
14.1_214,w
14.1_215,w
14.1_216,w
14.1_217,b
14.1_218,w
14.1_219,b
14.1_220,b
14.1_221,b
14.1_222,w
14.1_223,w
14.1_224,b
14.1_225,b
14.1_227,b
14.1_228,r
14.1_229,w
14.1_230,r
14.1_231,b
14.1_232,w
14.1_233,r
14.1_234,w
14.1_235,b
14.1_236,w
14.1_237,w
14.1_238,b
14.1_239,b
14.1_240,w
14.1_241,w
14.1_242,w
14.1_243,b
14.1_244,w
14.1_245,w
14.1_246,b
14.1_247,w
14.1_248,b
14.1_249,w
14.1_250,w
15.2_001,w
15.2_002,w
15.2_004,b
15.2_005,w
15.2_006,w
15.2_007,w
15.2_008,r
15.2_011,w
15.2_014,w
15.2_015,w
15.2_017,w
15.2_018,w
15.2_020,w
15.2_021,b
15.2_022,r
15.2_023,b
15.2_024,r
15.2_025,r
15.2_026,r
15.2_027,r
15.2_028,r
15.2_030,r
15.2_033,w
15.2_034,b
15.2_035,w
15.2_036,r
15.2_038,w
15.2_039,w
15.2_040,w
15.2_041,b
15.2_043,r
15.2_044,b
15.2_045,r
15.2_046,r
15.2_047,w
15.2_048,b
15.2_049,r
15.2_050,r
15.2_051,r
15.2_052,r
15.2_053,r
15.2_054,r
15.2_055,r
15.2_057,w
15.2_062,w
15.2_063,w
15.2_064,w
15.2_065,w
15.2_066,r
15.2_067,r
15.2_069,r
15.2_070,w
15.2_071,w
15.2_072,b
15.2_073,w
