IID	FID	pericarp_color
12.2_001	12.2_001	4
12.2_002	12.2_002	4
12.2_003	12.2_003	2
12.2_004	12.2_004	4
12.2_006	12.2_006	2
12.2_007	12.2_007	4
12.2_008	12.2_008	4
12.2_009	12.2_009	1
12.2_010	12.2_010	1
12.2_011	12.2_011	4
12.2_013	12.2_013	4
12.2_014	12.2_014	4
12.2_015	12.2_015	4
12.2_016	12.2_016	4
12.2_017	12.2_017	4
12.2_018	12.2_018	4
12.2_019	12.2_019	4
12.2_021	12.2_021	4
12.2_022	12.2_022	4
12.2_023	12.2_023	4
12.2_024	12.2_024	4
12.2_026	12.2_026	4
12.2_028	12.2_028	4
12.2_029	12.2_029	4
12.2_030	12.2_030	4
12.2_031	12.2_031	4
12.2_032	12.2_032	4
12.2_033	12.2_033	4
12.2_035	12.2_035	4
12.2_036	12.2_036	4
12.2_043	12.2_043	4
12.2_046	12.2_046	4
12.2_047	12.2_047	4
12.2_049	12.2_049	4
12.2_050	12.2_050	4
12.2_051	12.2_051	4
12.2_052	12.2_052	4
12.2_053	12.2_053	4
12.2_054	12.2_054	4
12.2_055	12.2_055	4
12.2_056	12.2_056	4
12.2_057	12.2_057	4
12.2_058	12.2_058	4
12.2_059	12.2_059	4
12.2_060	12.2_060	4
12.2_061	12.2_061	1
12.2_063	12.2_063	1
12.2_064	12.2_064	3
12.2_067	12.2_067	3
12.2_068	12.2_068	2
12.2_069	12.2_069	1
12.2_071	12.2_071	2
12.2_072	12.2_072	3
12.2_073	12.2_073	1
12.2_074	12.2_074	1
12.2_075	12.2_075	3
12.2_076	12.2_076	3
12.2_078	12.2_078	1
12.2_079	12.2_079	3
12.2_080	12.2_080	3
12.2_081	12.2_081	1
12.2_082	12.2_082	2
12.2_083	12.2_083	1
12.2_085	12.2_085	1
12.2_086	12.2_086	4
12.2_088	12.2_088	4
12.2_091	12.2_091	4
12.2_092	12.2_092	2
12.2_093	12.2_093	2
12.2_094	12.2_094	1
12.2_095	12.2_095	1
12.2_096	12.2_096	3
12.2_097	12.2_097	1
12.2_098	12.2_098	2
12.2_099	12.2_099	1
12.2_100	12.2_100	4
12.2_101	12.2_101	1
12.2_102	12.2_102	3
12.2_103	12.2_103	1
12.2_104	12.2_104	2
12.2_105	12.2_105	2
12.2_106	12.2_106	3
12.2_108	12.2_108	1
12.2_109	12.2_109	3
12.2_110	12.2_110	1
12.2_111	12.2_111	1
12.2_112	12.2_112	1
12.2_113	12.2_113	3
12.2_114	12.2_114	1
12.2_115	12.2_115	1
12.2_116	12.2_116	3
12.2_117	12.2_117	3
12.2_118	12.2_118	2
12.2_119	12.2_119	1
12.2_120	12.2_120	3
12.2_121	12.2_121	3
12.2_123	12.2_123	3
12.2_124	12.2_124	3
12.2_128	12.2_128	3
12.2_130	12.2_130	1
12.2_131	12.2_131	3
12.2_132	12.2_132	1
12.2_133	12.2_133	3
12.2_134	12.2_134	2
12.2_135	12.2_135	1
12.2_136	12.2_136	1
12.2_137	12.2_137	3
12.2_138	12.2_138	1
12.2_139	12.2_139	3
12.2_140	12.2_140	2
12.2_141	12.2_141	3
12.2_142	12.2_142	1
12.2_143	12.2_143	2
12.2_144	12.2_144	2
12.2_145	12.2_145	3
12.2_147	12.2_147	3
12.2_148	12.2_148	3
12.2_149	12.2_149	3
12.2_150	12.2_150	3
12.2_151	12.2_151	1
12.2_152	12.2_152	3
12.2_153	12.2_153	3
12.2_155	12.2_155	4
12.2_158	12.2_158	3
12.2_159	12.2_159	1
12.2_160	12.2_160	3
12.2_163	12.2_163	3
12.2_164	12.2_164	3
12.2_165	12.2_165	3
12.2_166	12.2_166	3
12.2_167	12.2_167	1
12.2_168	12.2_168	3
12.2_169	12.2_169	3
12.2_170	12.2_170	3
12.2_171	12.2_171	3
12.2_172	12.2_172	1
12.2_174	12.2_174	1
12.2_175	12.2_175	3
12.2_176	12.2_176	3
12.2_177	12.2_177	3
12.2_178	12.2_178	1
12.2_179	12.2_179	4
12.2_180	12.2_180	3
12.2_181	12.2_181	3
12.2_182	12.2_182	3
12.2_183	12.2_183	1
12.2_184	12.2_184	3
12.2_185	12.2_185	3
12.2_186	12.2_186	2
12.2_187	12.2_187	1
12.2_188	12.2_188	1
12.2_189	12.2_189	3
12.2_190	12.2_190	3
12.2_191	12.2_191	3
12.2_192	12.2_192	3
12.2_193	12.2_193	3
12.2_194	12.2_194	3
12.2_195	12.2_195	1
12.2_197	12.2_197	1
12.2_198	12.2_198	3
12.2_199	12.2_199	3
12.2_200	12.2_200	3
12.2_201	12.2_201	1
12.2_205	12.2_205	3
12.2_208	12.2_208	3
12.2_209	12.2_209	3
12.2_210	12.2_210	3
12.2_212	12.2_212	3
12.2_213	12.2_213	3
12.2_215	12.2_215	3
12.2_216	12.2_216	1
12.2_217	12.2_217	3
12.2_218	12.2_218	3
12.2_219	12.2_219	3
12.2_220	12.2_220	2
12.2_221	12.2_221	3
12.2_222	12.2_222	3
12.2_224	12.2_224	3
12.2_225	12.2_225	3
12.2_226	12.2_226	3
12.2_227	12.2_227	3
12.2_228	12.2_228	3
12.2_229	12.2_229	3
12.2_230	12.2_230	3
12.2_231	12.2_231	3
12.2_232	12.2_232	1
12.2_233	12.2_233	3
12.2_235	12.2_235	2
12.2_238	12.2_238	4
12.2_243	12.2_243	3
12.2_244	12.2_244	3
12.2_247	12.2_247	3
12.2_248	12.2_248	3
12.2_249	12.2_249	3
12.2_250	12.2_250	3
14.1_001	14.1_001	1
14.1_002	14.1_002	4
14.1_004	14.1_004	3
14.1_005	14.1_005	2
14.1_006	14.1_006	2
14.1_007	14.1_007	2
14.1_008	14.1_008	1
14.1_009	14.1_009	3
14.1_010	14.1_010	3
14.1_011	14.1_011	2
14.1_013	14.1_013	3
14.1_014	14.1_014	3
14.1_015	14.1_015	2
14.1_016	14.1_016	1
14.1_017	14.1_017	3
14.1_018	14.1_018	3
14.1_019	14.1_019	3
14.1_020	14.1_020	4
14.1_021	14.1_021	3
14.1_022	14.1_022	3
14.1_023	14.1_023	3
14.1_024	14.1_024	1
14.1_025	14.1_025	3
14.1_026	14.1_026	3
14.1_027	14.1_027	4
14.1_028	14.1_028	3
14.1_029	14.1_029	3
14.1_030	14.1_030	3
14.1_031	14.1_031	1
14.1_032	14.1_032	3
14.1_033	14.1_033	3
14.1_034	14.1_034	1
14.1_035	14.1_035	3
14.1_036	14.1_036	3
14.1_037	14.1_037	3
14.1_038	14.1_038	3
14.1_040	14.1_040	3
14.1_041	14.1_041	2
14.1_042	14.1_042	3
14.1_043	14.1_043	2
14.1_044	14.1_044	1
14.1_045	14.1_045	3
14.1_046	14.1_046	3
14.1_047	14.1_047	2
14.1_048	14.1_048	3
14.1_049	14.1_049	2
14.1_050	14.1_050	3
14.1_051	14.1_051	3
14.1_053	14.1_053	3
14.1_054	14.1_054	1
14.1_055	14.1_055	3
14.1_056	14.1_056	1
14.1_057	14.1_057	3
14.1_058	14.1_058	3
14.1_059	14.1_059	3
14.1_060	14.1_060	3
14.1_061	14.1_061	3
14.1_062	14.1_062	3
14.1_063	14.1_063	3
14.1_065	14.1_065	3
14.1_066	14.1_066	3
14.1_067	14.1_067	2
14.1_068	14.1_068	2
14.1_069	14.1_069	1
14.1_070	14.1_070	3
14.1_071	14.1_071	1
14.1_072	14.1_072	3
14.1_074	14.1_074	1
14.1_075	14.1_075	3
14.1_076	14.1_076	1
14.1_078	14.1_078	3
14.1_081	14.1_081	3
14.1_082	14.1_082	3
14.1_083	14.1_083	3
14.1_084	14.1_084	1
14.1_085	14.1_085	1
14.1_086	14.1_086	1
14.1_087	14.1_087	1
14.1_088	14.1_088	1
14.1_089	14.1_089	1
14.1_090	14.1_090	1
14.1_091	14.1_091	1
14.1_092	14.1_092	1
14.1_095	14.1_095	1
14.1_096	14.1_096	1
14.1_098	14.1_098	2
14.1_099	14.1_099	3
14.1_100	14.1_100	2
14.1_101	14.1_101	1
14.1_102	14.1_102	3
14.1_105	14.1_105	3
14.1_106	14.1_106	1
14.1_107	14.1_107	3
14.1_108	14.1_108	3
14.1_109	14.1_109	3
14.1_110	14.1_110	3
14.1_111	14.1_111	3
14.1_112	14.1_112	3
14.1_113	14.1_113	3
14.1_114	14.1_114	3
14.1_115	14.1_115	3
14.1_116	14.1_116	3
14.1_117	14.1_117	3
14.1_118	14.1_118	1
14.1_119	14.1_119	3
